Potential [ V],di [µA/]
-0.859149992,91.32140258
-0.858699977,91.31409752
-0.858250022,91.11959662
-0.857800007,90.9661976
-0.857349992,90.70240048
-0.856899977,90.5459965
-0.856450021,90.43000318
-0.856000006,90.56930139
-0.855549991,90.69080261
-0.855099976,90.93250264
-0.854650021,91.17479931
-0.854200006,91.39080066
-0.85374999,91.43549687
-0.853299975,91.52139683
-0.85285002,91.56620217
-0.852400005,91.55699809
-0.85194999,91.56190208
-0.851499975,91.63309733
-0.851050019,91.62329661
-0.850600004,91.63739742
-0.850149989,91.70729754
-0.849699974,91.74169827
-0.849250019,91.79199697
-0.848800004,91.86260286
-0.848349988,91.9692975
-0.847899973,92.08400297
-0.847450018,92.29320131
-0.847000003,92.4545966
-0.846549988,92.61709783
-0.846099973,92.7275978
-0.845650017,92.76560013
-0.845200002,92.7459987
-0.844749987,92.76869969
-0.844299972,92.78219659
-0.843850017,92.72449824
-0.843400002,92.63800166
-0.842949986,92.54660108
-0.842499971,92.42450324
-0.842050016,92.39999781
-0.841600001,92.50429866
-0.841149986,92.70919691
-0.840699971,92.96499775
-0.840250015,93.33119669
-0.8398,93.75390073
-0.839349985,94.12450163
-0.83890003,94.48640049
-0.838450015,94.74960098
-0.838,94.8158995
-0.837549984,94.69749784
-0.837100029,94.59629655
-0.836650014,94.50729704
-0.836199999,94.5428983
-0.835749984,94.66309712
-0.835300028,94.78950233
-0.834850013,94.88889918
-0.834399998,95.03369802
-0.833949983,95.18639854
-0.833500028,95.47350055
-0.833050013,95.86920351
-0.832599998,96.32569709
-0.832149982,96.66619735
-0.831700027,96.88400314
-0.831250012,96.9870016
-0.830799997,97.09069855
-0.830349982,97.25020209
-0.829900026,97.44099953
-0.829450011,97.7403979
-0.828999996,98.1159028
-0.828549981,98.45940076
-0.828100026,98.67420158
-0.827650011,98.93730021
-0.827199996,99.22689787
-0.82674998,99.40170276
-0.826300025,99.60729949
-0.82585001,99.91339903
-0.825399995,100.2089994
-0.82494998,100.4610021
-0.824500024,100.8420004
-0.824050009,101.2740031
-0.823599994,101.7079994
-0.823149979,102.2180004
-0.822700024,102.7920007
-0.822250009,103.2529981
-0.821799994,103.6940012
-0.821349978,104.0959978
-0.820900023,104.4419987
-0.820450008,104.6969992
-0.819999993,105.0689971
-0.819549978,105.4199965
-0.819100022,105.8170019
-0.818650007,106.2349984
-0.818199992,106.6640034
-0.817749977,107.0119979
-0.817300022,107.2379964
-0.816850007,107.3189997
-0.816399992,107.3629974
-0.815949976,107.3609965
-0.815500021,107.3739986
-0.815050006,107.5749969
-0.814599991,107.8650021
-0.814149976,108.1869996
-0.81370002,108.6269986
-0.813250005,109.1130034
-0.81279999,109.4510008
-0.812349975,109.8939974
-0.81190002,110.275003
-0.811450005,110.6690033
-0.81099999,111.1340025
-0.810549974,111.825997
-0.810100019,112.5080016
-0.809650004,113.2949983
-0.809199989,114.0000022
-0.808749974,114.6470022
-0.808300018,115.0430035
-0.807850003,115.4190031
-0.807399988,115.7880033
-0.806949973,116.242998
-0.806500018,116.604002
-0.806050003,117.1330005
-0.805599988,117.5989964
-0.805149972,118.1100015
-0.804700017,118.6559966
-0.804250002,119.3650023
-0.803799987,120.1289997
-0.803349972,120.9789989
-0.802900016,121.7289973
-0.802450001,122.4209991
-0.801999986,123.0460039
-0.801549971,123.6649987
-0.801100016,124.2319995
-0.800650001,124.9089983
-0.800199986,125.6709947
-0.79974997,126.4419989
-0.799300015,127.0159992
-0.79885,127.5459945
-0.798399985,127.9940043
-0.797950029,128.353
-0.797500014,128.8100029
-0.797049999,129.4940012
-0.796599984,130.4059988
-0.796150029,131.3289977
-0.795700014,132.2320022
-0.795249999,133.0270024
-0.794799984,133.7110007
-0.794350028,134.2600008
-0.793900013,134.8859951
-0.793449998,135.6269931
-0.792999983,136.2869953
-0.792550027,137.0160026
-0.792100012,137.7129956
-0.791649997,138.3570052
-0.791199982,138.9770041
-0.790750027,139.7900051
-0.790300012,140.5509975
-0.789849997,141.3319987
-0.789399981,142.0729968
-0.788950026,142.6709932
-0.788500011,143.0730044
-0.788049996,143.487996
-0.787599981,143.8420004
-0.787150025,144.2009961
-0.78670001,144.6060051
-0.786249995,145.1779972
-0.78579998,145.6320024
-0.785350025,146.1329957
-0.78490001,146.6789981
-0.784449995,147.3110024
-0.783999979,147.8920021
-0.783550024,148.6389956
-0.783100009,149.3760064
-0.782649994,150.1630031
-0.782199979,150.9340073
-0.781750023,151.7159981
-0.781300008,152.4700056
-0.780849993,153.4049952
-0.780399978,154.3169928
-0.779950023,155.294998
-0.779500008,156.2789985
-0.779049993,157.2159963
-0.778599977,158.0149983
-0.778150022,158.8559971
-0.777700007,159.6539951
-0.777249992,160.4849967
-0.776799977,161.4369976
-0.776350021,162.301003
-0.775900006,163.011995
-0.775449991,163.706005
-0.774999976,164.2900024
-0.774550021,164.8140023
-0.774100006,165.4560037
-0.773649991,166.1879942
-0.773199975,166.8699988
-0.77275002,167.6099928
